RA,ANO,FASE,PEDRA,INDE,IAA,IEG,IPS,IDA,IPV,IAN,DEFASAGEM,GENERO,IDADE,ANO_INGRESSO,PONTO_VIRADA,IPP
RA-147,2022,4,AMETISTA,7.541,8.3,7.7,7.5,6.1,7.25,10.0,0,Feminino,14,2022,Não,7.6875
RA-148,2022,4,AMETISTA,7.894,9.2,7.9,10.0,5.3,7.708,10.0,0,Masculino,14,2022,Não,7.7625
RA-149,2022,4,AGATA,6.323,9.2,6.5,7.5,5.0,6.125,5.0,-1,Feminino,15,2022,Não,7.15625
RA-150,2022,4,AGATA,6.962,9.6,6.3,6.9,6.9,7.333,5.0,-2,Feminino,16,2020,Não,7.708333333400001
RA-151,2022,4,AMETISTA,7.563,8.8,7.5,6.9,8.3,7.958,5.0,-2,Feminino,16,2020,Não,7.5875
RA-152,2022,4,AGATA,6.712,8.3,7.0,7.5,6.5,6.292,5.0,-2,Feminino,16,2022,Não,7.59375
RA-153,2022,4,AMETISTA,7.535,7.9,8.2,5.0,6.6,7.708,10.0,0,Feminino,14,2018,Não,7.5
RA-154,2022,4,AGATA,6.073,8.3,6.1,6.3,4.0,6.833,5.0,-1,Masculino,15,2017,Não,6.6895833334
RA-155,2022,4,AMETISTA,7.051,10.0,8.3,7.5,5.2,6.833,5.0,-2,Masculino,16,2022,Não,7.4375
RA-156,2022,4,AMETISTA,7.357,10.0,8.3,9.4,4.4,7.792,5.0,-1,Masculino,15,2018,Não,7.2979166666
RA-157,2022,4,TOPAZIO,8.317,7.5,10.0,6.3,7.7,8.292,10.0,1,Feminino,12,2018,Não,8.3958333334
RA-158,2022,4,AMETISTA,7.302,7.9,9.8,5.6,6.6,8.125,2.5,-3,Feminino,17,2017,Não,6.96875
RA-159,2022,4,AGATA,6.49,8.3,8.1,5.6,4.7,6.458,5.0,-1,Feminino,15,2021,Não,7.40625
RA-160,2022,4,AGATA,6.746,7.5,7.2,5.6,5.3,8.25,5.0,-1,Feminino,15,2021,Não,7.2166666666
RA-161,2022,4,AMETISTA,7.957,7.9,9.1,5.6,6.9,8.083,10.0,2,Feminino,11,2018,Não,7.8354166666
RA-162,2022,4,AMETISTA,7.215,6.7,8.5,7.5,5.5,6.542,10.0,0,Feminino,14,2021,Não,7.525
RA-163,2022,4,AGATA,6.797,8.8,7.9,5.6,6.7,6.5,5.0,-1,Feminino,15,2021,Não,8.0
RA-164,2022,4,AGATA,6.776,8.3,7.3,5.6,6.5,7.208,5.0,-2,Masculino,16,2018,Não,7.3645833332
RA-165,2022,4,TOPAZIO,8.063,7.1,9.8,5.6,7.6,7.5,10.0,0,Feminino,14,2017,Não,7.784375
RA-166,2022,4,TOPAZIO,8.253,9.2,9.0,6.3,8.1,7.542,10.0,0,Masculino,14,2020,Não,7.925
RA-167,2022,4,AMETISTA,7.798,9.2,9.7,5.6,7.9,7.833,5.0,-2,Feminino,16,2018,Não,7.7947916666
RA-168,2022,4,AGATA,6.917,7.9,8.3,6.3,5.9,7.083,5.0,-1,Feminino,15,2018,Não,7.325
RA-169,2022,4,QUARTZO,5.159,7.5,5.1,6.3,3.2,4.792,5.0,-1,Feminino,15,2018,Não,6.9395833334
RA-170,2022,4,AGATA,7.007,8.3,9.2,5.6,4.9,5.792,10.0,0,Feminino,14,2018,Não,7.739583333400001
RA-171,2022,4,AGATA,6.581,7.5,6.8,7.5,5.5,6.875,5.0,-2,Masculino,16,2022,Não,8.0
RA-172,2022,4,TOPAZIO,8.673,9.2,8.9,9.4,7.3,8.917,10.0,0,Feminino,14,2018,Sim,7.854166666599999
RA-173,2022,4,AMETISTA,7.816,8.3,9.2,6.9,7.9,9.25,2.5,-3,Masculino,17,2019,Sim,7.541666666599999
RA-174,2022,4,AGATA,6.075,7.9,6.2,7.5,4.4,6.042,5.0,-1,Feminino,15,2019,Não,6.9333333334
RA-175,2022,4,AGATA,6.75,8.3,9.2,5.6,5.9,5.833,5.0,-1,Feminino,15,2018,Não,7.40625
RA-176,2022,3,TOPAZIO,8.427,9.6,9.1,5.6,6.9,9.083,10.0,0,Feminino,13,2018,Sim,7.8354166666
